,0
temperature,0.018724814654725672
vibration,0.05764037563357136
pressure,0.00797222823119022
rpm,0.0053968701016107465
temp_vib_ratio,0.02681171250951582
temperature_roll_mean_4,0.018699889349202893
temperature_roll_std_4,0.004945596773965861
vibration_roll_mean_4,0.09159969248678719
vibration_roll_std_4,0.006000015863286796
pressure_roll_mean_4,0.016888536405766697
pressure_roll_std_4,0.005681231064073972
rpm_roll_mean_4,0.009374550144463362
rpm_roll_std_4,0.007031493957701152
temperature_roll_mean_16,0.011263581191724855
temperature_roll_std_16,0.043546840795925405
vibration_roll_mean_16,0.028820917533756815
vibration_roll_std_16,0.087037801619918
pressure_roll_mean_16,0.01310127424473155
pressure_roll_std_16,0.010718479432985616
rpm_roll_mean_16,0.012186449008153284
rpm_roll_std_16,0.012732163420453678
temperature_roll_mean_32,0.019811492118506482
temperature_roll_std_32,0.03420425651535752
vibration_roll_mean_32,0.030598723947846747
vibration_roll_std_32,0.07092886136242488
pressure_roll_mean_32,0.015752285661952355
pressure_roll_std_32,0.014570959690272733
rpm_roll_mean_32,0.013688289884139377
rpm_roll_std_32,0.025979778712148318
temperature_lag1,0.015797714868183484
temperature_lag4,0.006402770342463931
temperature_lag16,0.01311871041625752
vibration_lag1,0.030249577444572604
vibration_lag4,0.0159121492847465
vibration_lag16,0.0201581325855849
pressure_lag1,0.006506994087545475
pressure_lag4,0.004514021939967277
pressure_lag16,0.007030083338688177
rpm_lag1,0.004956230991828156
rpm_lag4,0.004740807586769568
rpm_lag16,0.005335693191566336
temp_delta,0.0035296860580777546
pres_delta,0.003579849041622508
vib_delta,0.004208043082316002
vib_fft_peak,0.02212387136092881
temp_pressure_ratio,0.028830274347435025
vib_rpm_ratio,0.06852563708225866
hour_sin,0.0063232589944756485
hour_cos,0.006447331638552288
